cem_key,lawn_key,ptype_norm,retail_price,resale_price,resale_pct,year,sold_date
MOUNTAIN VIEW MP (AKA: BARSTOW CEM. DIST.),BLOCK 13,SINGLE_GRAVE,2035.0,1500.0,0.7371007371007371,2017.0,2017-10-10
FOREST LAWN MP,GOLDEN DAWN,SINGLE_GRAVE,4945.0,3500.0,0.7077856420626896,2020.0,2020-03-17
ROSE HILLS G-14,NAUVOO,SINGLE_GRAVE,7775.0,3900.0,0.5016077170418006,2020.0,2020-08-07
ROSE HILLS G-17,HILLCREST,MULTI_GRAVE,7775.0,3900.0,0.5016077170418006,2020.0,2020-07-30
ROSE HILLS G-01,REST GARDEN OF,SINGLE_GRAVE,7775.0,4000.0,0.5144694533762058,,
FAIRHAVEN MP,NORTH GARDENS,DD_LAWN_CRYPT,11000.0,7700.0,0.7,2019.0,2019-09-30
GREENWOOD MP,"BIBLE MAUSOLEUM, CHAPEL - CORRIDOR OF",SINGLE_MAUSOLEUM,6300.0,4410.0,0.7,2013.0,2013-05-07
ROSE HILLS G-01,REST GARDEN OF,SINGLE_GRAVE,7775.0,4000.0,0.5144694533762058,,
WESTMINSTER MP,MEDITATION GARDEN OF,SINGLE_GRAVE,9495.0,4200.0,0.4423380726698262,2015.0,2015-05-21
ROSE HILLS G-17,CHAPEL HILL,MULTI_GRAVE,7775.0,4100.0,0.5273311897106109,2020.0,2020-08-04
ROSE HILLS G-01,REST GARDEN OF,SINGLE_GRAVE,7775.0,4000.0,0.5144694533762058,,
FOREST LAWN MP,SHELTERING TREES,SINGLE_GRAVE,6785.0,5060.0,0.7457627118644068,,
DESERT VIEW MP,"PRAYER, GARDEN OF LOT 10",SINGLE_LAWN_CRYPT,5995.0,4200.0,0.700583819849875,,
MOUNTAIN VIEW MP (AKA: BARSTOW CEM. DIST.),BLOCK 16,SINGLE_GRAVE,2500.0,1500.0,0.6,2019.0,2019-10-30
VALHALLA (PIERCE BROS.),MEMORIAL PARK,SINGLE_GRAVE,5595.0,4200.0,0.7506702412868632,2018.0,2018-12-21
DESERT LAWN MP,PEACE GARDEN OF,MULTI_GRAVE,6045.0,1950.0,0.3225806451612903,2010.0,2010-07-26
ETERNAL VALLEY MP,INSIDE CHAPEL CORRIDOR GLASS FRONT NICHE A-3 (BOTTOM NICHE),NICHE_OTHER,4200.0,3100.0,0.7380952380952381,2016.0,2016-08-11
ROSE HILLS G-01,AFFECTION GARDEN OF,MULTI_GRAVE,7775.0,4100.0,0.5273311897106109,,
CRESTLAWN MP (PIERCE BROS.),DEVOTION GARDEN OF,SINGLE_GRAVE,6995.0,3500.0,0.5003573981415297,2017.0,2017-11-06
EL CAMINO MP (CARROLL CANYON RD.),ACACIA LAWN,MULTI_GRAVE,12000.0,4500.0,0.375,2018.0,2018-09-21
INGLEWOOD PARK,CHERRY BLOSSOM,MULTI_GRAVE,14995.0,11995.0,0.7999333111037013,,
HERMOSA GARDENS  (AKA: INLAND MEMORIAL),BLOCK 5,SINGLE_GRAVE,3220.0,2250.0,0.6987577639751553,2016.0,2016-10-04
CONEJO MOUNTAIN,SANTA CRUZ 2,MULTI_GRAVE,13250.0,5200.0,0.39245283018867927,2020.0,2020-03-17
CONEJO MOUNTAIN,SANTA CRUZ 1,SINGLE_GRAVE,8300.0,3050.0,0.3674698795180723,2017.0,2017-03-08
FAIRHAVEN MP,AL LAWN,MULTI_GRAVE,6795.0,5100.0,0.7505518763796909,2020.0,2020-02-06
FOREST LAWN MP,VALE OF FAITH,SINGLE_GRAVE,4140.0,3300.0,0.7971014492753623,2019.0,2019-07-30
WESTMINSTER MP,MEDITATION GARDEN OF,SINGLE_GRAVE,9495.0,4200.0,0.4423380726698262,2015.0,2015-05-21
ROSE HILLS G-01,WILLOW,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-09-01
ROSE HILLS G-11,LAKESIDE GARDEN,SINGLE_GRAVE,7775.0,4200.0,0.5401929260450161,2020.0,2020-08-28
GREEN HILLS MP,BAYVIEW TERRACE,MULTI_GRAVE,18000.0,12600.0,0.7,2020.0,2020-07-22
CYPRESS VIEW MAUSOLEUM,HONOR ROOM,TC_MAUSOLEUM,10170.0,6100.0,0.599803343166175,2010.0,2010-05-24
GREEN ACRES MP,CROSS - GARDEN OF THE,MULTI_GRAVE,6995.0,2400.0,0.3431022158684775,2015.0,2015-09-04
FOREST LAWN MP,VICTORY,URN_SPACE,5072.0,3000.0,0.5914826498422713,,
ROSE HILLS G-01,SPRING TERRACE,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-09-01
GREEN HILLS MP,EVENTIDE TERRACE,SINGLE_GRAVE,9200.0,5450.0,0.592391304347826,2020.0,2020-09-01
FOREST LAWN MP,CHERISHED MEMORY,MULTI_GRAVE,4370.0,3500.0,0.8009153318077803,2020.0,2020-07-07
ROSE HILLS G-01,REFLECTION GARDEN OF,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-09-08
ROSE HILLS G-01,COMMEMORATION GARDEN OF,MULTI_GRAVE,13775.0,4800.0,0.3484573502722323,2020.0,2020-07-10
VICTOR VALLEY MP,VALLEY VIEW LAWN,SINGLE_LAWN_CRYPT,4380.0,3500.0,0.7990867579908676,2019.0,2019-04-05
FOREST LAWN MP,ETERNAL PEACE,SINGLE_GRAVE,8625.0,5500.0,0.6376811594202898,2019.0,2019-03-12
FOREST LAWN MP,CHERISHED MEMORY,MULTI_GRAVE,4830.0,3850.0,0.7971014492753623,2019.0,2019-06-05
SUNSET HILLS MP,ETERNAL ROCKS URN GARDEN,URN_SPACE,4120.0,3300.0,0.8009708737864077,2019.0,2019-07-31
GREEN HILLS MP,OCEAN VIEW,MULTI_GRAVE,9200.0,6900.0,0.75,,
ROSE HILLS G-01,AFFECTION GARDEN OF,SINGLE_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-08-30
DESERT LAWN MP,PEACE GARDEN OF,SINGLE_GRAVE,6045.0,1950.0,0.3225806451612903,2015.0,2015-09-30
OAKWOOD MP,WILLOW HEIGHTS,URN_SPACE,2200.0,1950.0,0.8863636363636364,2018.0,2018-11-17
MELROSE ABBEY MP,CARNATION,SINGLE_GRAVE,5900.0,2800.0,0.4745762711864407,2017.0,2017-03-27
GREEN HILLS MP,OCEAN VIEW,MULTI_GRAVE,9200.0,6900.0,0.75,,
MONTECITO MP,MAGNOLIA LAWN,SINGLE_GRAVE,9395.0,3900.0,0.41511442256519426,2015.0,2015-08-07
